,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,2316.0,668.0,5411.0,3116.0,912.0,2138.0,1429.0,1335.0,1508.0,2917.0
01_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_fulfilled_demand,4632.0,1336.0,10822.0,6232.0,1824.0,4276.0,2858.0,2670.0,3016.0,5834.0
02_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_fulfilled_demand,6948.0,2004.0,16233.0,9348.0,2646.0,6414.0,4167.0,4005.0,4524.0,8751.0
03_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
04_fulfilled_demand,9264.0,2672.0,21644.0,12464.0,3468.0,8552.0,5476.0,5340.0,6032.0,11668.0
04_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
05_fulfilled_demand,11580.0,3340.0,27055.0,15580.0,4290.0,10690.0,6785.0,6675.0,7540.0,14585.0
05_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
06_fulfilled_demand,13896.0,4008.0,32466.0,18696.0,5112.0,12828.0,8094.0,8010.0,9048.0,17502.0
06_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
07_fulfilled_demand,16212.0,4676.0,37877.0,21812.0,5934.0,14966.0,9403.0,9345.0,10556.0,20419.0
07_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
08_fulfilled_demand,18528.0,5344.0,43288.0,24928.0,6756.0,17104.0,10712.0,10680.0,12064.0,23336.0
08_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
09_fulfilled_demand,20844.0,6012.0,48699.0,28044.0,7578.0,19242.0,12021.0,12015.0,13572.0,26253.0
09_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
10_fulfilled_demand,23160.0,6680.0,54110.0,31160.0,8400.0,21380.0,13330.0,13350.0,15080.0,29170.0
10_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
11_fulfilled_demand,25476.0,7348.0,59521.0,34276.0,9222.0,23518.0,14639.0,14685.0,16588.0,32087.0
11_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
12_fulfilled_demand,27792.0,8016.0,64932.0,37392.0,10044.0,25656.0,15948.0,16020.0,18096.0,35004.0
12_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
13_fulfilled_demand,30108.0,8684.0,70343.0,40508.0,10866.0,27794.0,17257.0,17355.0,19604.0,37921.0
13_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
14_fulfilled_demand,32424.0,9352.0,75754.0,43624.0,11688.0,29932.0,18566.0,18690.0,21112.0,40838.0
14_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
15_fulfilled_demand,34740.0,10020.0,81165.0,46740.0,12510.0,32070.0,19875.0,20025.0,22620.0,43755.0
15_lost_demand,0.0,0.0,0.0,0.0,822.0,0.0,1309.0,0.0,0.0,0.0
