,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,1708.0,1070.0,3938.0,4009.0,997.0,2070.0,1518.0,1208.0,2460.0,5108.0
01_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_fulfilled_demand,3416.0,2140.0,7876.0,8018.0,1994.0,4140.0,3036.0,2416.0,4920.0,10216.0
02_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_fulfilled_demand,5124.0,3210.0,11814.0,12027.0,2991.0,6210.0,4554.0,3624.0,7380.0,15324.0
03_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_fulfilled_demand,6072.0,4068.0,15752.0,16036.0,3988.0,8280.0,6133.0,4211.0,9840.0,20432.0
04_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
05_fulfilled_demand,7020.0,4926.0,19690.0,20045.0,4985.0,10350.0,7712.0,4798.0,12300.0,25540.0
05_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
06_fulfilled_demand,7968.0,5784.0,23628.0,24054.0,5982.0,12420.0,9291.0,5385.0,14760.0,30648.0
06_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
07_fulfilled_demand,8916.0,6642.0,27566.0,28063.0,6979.0,14490.0,10870.0,5972.0,17220.0,35756.0
07_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
08_fulfilled_demand,9864.0,7500.0,31504.0,32072.0,7976.0,16560.0,12449.0,6559.0,19680.0,40864.0
08_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
09_fulfilled_demand,10812.0,8358.0,35442.0,36081.0,8973.0,18630.0,14028.0,7146.0,22140.0,45972.0
09_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
10_fulfilled_demand,11760.0,9216.0,39380.0,40090.0,9970.0,20700.0,15607.0,7733.0,24600.0,51080.0
10_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
11_fulfilled_demand,12708.0,10074.0,43318.0,44099.0,10967.0,22770.0,17186.0,8320.0,27060.0,56188.0
11_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
12_fulfilled_demand,13656.0,10932.0,47256.0,48108.0,11964.0,24840.0,18765.0,8907.0,29520.0,61296.0
12_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
13_fulfilled_demand,14604.0,11790.0,51194.0,52117.0,12961.0,26910.0,20344.0,9494.0,31980.0,66404.0
13_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
14_fulfilled_demand,15552.0,12648.0,55132.0,56126.0,13958.0,28980.0,21923.0,10081.0,34440.0,71512.0
14_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
15_fulfilled_demand,16500.0,13506.0,59070.0,60135.0,14955.0,31050.0,23502.0,10668.0,36900.0,76620.0
15_lost_demand,948.0,858.0,0.0,0.0,0.0,0.0,1579.0,587.0,0.0,0.0
