,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,2311.0,1340.0,2527.0,1996.0,1292.0,3929.0,734.0,1061.0,1048.0,2931.0
01_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
02_fulfilled_demand,4622.0,2680.0,5054.0,3992.0,2725.0,7858.0,1535.0,2122.0,2096.0,5862.0
02_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
03_fulfilled_demand,6933.0,4020.0,7581.0,5988.0,4158.0,11787.0,2336.0,3183.0,3144.0,8793.0
03_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
04_fulfilled_demand,9244.0,5360.0,10108.0,7984.0,5591.0,15716.0,3137.0,4244.0,4192.0,11724.0
04_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
05_fulfilled_demand,11555.0,6700.0,12635.0,9980.0,7024.0,19645.0,3938.0,5305.0,5240.0,14655.0
05_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
06_fulfilled_demand,13866.0,8040.0,15162.0,11976.0,8457.0,23574.0,4739.0,6366.0,6288.0,17586.0
06_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
07_fulfilled_demand,16177.0,9380.0,17689.0,13972.0,9890.0,27503.0,5540.0,7427.0,7336.0,20517.0
07_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
08_fulfilled_demand,18488.0,10720.0,20216.0,15968.0,11323.0,31432.0,6341.0,8488.0,8384.0,23448.0
08_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
09_fulfilled_demand,20799.0,12060.0,22743.0,17964.0,12756.0,35361.0,7142.0,9549.0,9432.0,26379.0
09_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
10_fulfilled_demand,23110.0,13400.0,25270.0,19960.0,14189.0,39290.0,7943.0,10610.0,10480.0,29310.0
10_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
11_fulfilled_demand,25421.0,14740.0,27797.0,21956.0,15622.0,43219.0,8744.0,11671.0,11528.0,32241.0
11_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
12_fulfilled_demand,27732.0,16080.0,30324.0,23952.0,17055.0,47148.0,9545.0,12732.0,12576.0,35172.0
12_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
13_fulfilled_demand,30043.0,17420.0,32851.0,25948.0,18488.0,51077.0,10346.0,13793.0,13624.0,38103.0
13_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
14_fulfilled_demand,32354.0,18760.0,35378.0,27944.0,19921.0,55006.0,11147.0,14854.0,14672.0,41034.0
14_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
15_fulfilled_demand,34665.0,20100.0,37905.0,29940.0,21354.0,58935.0,11948.0,15915.0,15720.0,43965.0
15_lost_demand,0.0,0.0,0.0,0.0,1292.0,0.0,734.0,0.0,0.0,0.0
