,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
fulfilled_demand,9381.0,11790.0,97350.0,39030.0,20130.0,41295.0,14424.0,14340.0,42165.0,58845.0
lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
cost,272.91255810187084,397.6354383630546,64.52027028422863,85.00172171455466,268.30773327631283,100.22883192854395,297.9368328999828,234.59502352843933,148.43256048219672,75.8429627473477
cost_after_disruption,0.0,0.0,64.52027028422863,85.00172171455466,268.30773327631283,100.22883192854395,284.48836159207957,0.0,148.43256048219672,75.8429627473477
loss,-inf,-inf,0.0,0.0,0.0,0.0,-43.897295669347805,-inf,0.0,0.0
