,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,830.0,670.0,5132.0,5839.0,1443.0,2139.0,1532.0,482.0,2091.0,5928.0
01_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
02_fulfilled_demand,1660.0,1340.0,10264.0,11678.0,2886.0,4278.0,3064.0,964.0,4182.0,11856.0
02_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
03_fulfilled_demand,2490.0,2010.0,15396.0,17517.0,4329.0,6417.0,4596.0,1446.0,6273.0,17784.0
03_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
04_fulfilled_demand,3320.0,2680.0,20528.0,23356.0,5772.0,8556.0,6128.0,1928.0,8364.0,23712.0
04_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
05_fulfilled_demand,4150.0,3350.0,25660.0,29195.0,7215.0,10695.0,7660.0,2410.0,10455.0,29640.0
05_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
06_fulfilled_demand,4980.0,4020.0,30792.0,35034.0,8658.0,12834.0,9192.0,2892.0,12546.0,35568.0
06_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
07_fulfilled_demand,5810.0,4690.0,35924.0,40873.0,10101.0,14973.0,10724.0,3374.0,14637.0,41496.0
07_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
08_fulfilled_demand,6640.0,5360.0,41056.0,46712.0,11544.0,17112.0,12256.0,3856.0,16728.0,47424.0
08_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
09_fulfilled_demand,7470.0,6030.0,46188.0,52551.0,12987.0,19251.0,13788.0,4338.0,18819.0,53352.0
09_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
10_fulfilled_demand,8300.0,6700.0,51320.0,58390.0,14430.0,21390.0,15320.0,4820.0,20910.0,59280.0
10_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
11_fulfilled_demand,9130.0,7370.0,56452.0,64229.0,15873.0,23529.0,16852.0,5302.0,23001.0,65208.0
11_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
12_fulfilled_demand,9960.0,8040.0,61584.0,70068.0,17316.0,25668.0,18384.0,5784.0,25092.0,71136.0
12_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
13_fulfilled_demand,10790.0,8710.0,66716.0,75907.0,18759.0,27807.0,19916.0,6266.0,27183.0,77064.0
13_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
14_fulfilled_demand,11620.0,9380.0,71848.0,81746.0,20202.0,29946.0,21448.0,6748.0,29274.0,82992.0
14_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
15_fulfilled_demand,12450.0,10050.0,76980.0,87585.0,21645.0,32085.0,22980.0,7230.0,31365.0,88920.0
15_lost_demand,830.0,670.0,0.0,0.0,0.0,0.0,1532.0,482.0,0.0,0.0
