,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,971.0,934.0,6490.0,2602.0,1342.0,2753.0,932.0,1624.0,2811.0,3923.0
01_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_fulfilled_demand,1942.0,1868.0,12980.0,5204.0,2684.0,5506.0,1864.0,3248.0,5622.0,7846.0
02_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_fulfilled_demand,2913.0,2802.0,19470.0,7806.0,4026.0,8259.0,2796.0,4872.0,8433.0,11769.0
03_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_fulfilled_demand,3452.0,3551.0,25960.0,10408.0,5368.0,11012.0,3765.0,5661.0,11244.0,15692.0
04_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
05_fulfilled_demand,3991.0,4300.0,32450.0,13010.0,6710.0,13765.0,4734.0,6450.0,14055.0,19615.0
05_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
06_fulfilled_demand,4530.0,5049.0,38940.0,15612.0,8052.0,16518.0,5703.0,7239.0,16866.0,23538.0
06_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
07_fulfilled_demand,5069.0,5798.0,45430.0,18214.0,9394.0,19271.0,6672.0,8028.0,19677.0,27461.0
07_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
08_fulfilled_demand,5608.0,6547.0,51920.0,20816.0,10736.0,22024.0,7641.0,8817.0,22488.0,31384.0
08_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
09_fulfilled_demand,6147.0,7296.0,58410.0,23418.0,12078.0,24777.0,8610.0,9606.0,25299.0,35307.0
09_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
10_fulfilled_demand,6686.0,8045.0,64900.0,26020.0,13420.0,27530.0,9579.0,10395.0,28110.0,39230.0
10_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
11_fulfilled_demand,7225.0,8794.0,71390.0,28622.0,14762.0,30283.0,10548.0,11184.0,30921.0,43153.0
11_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
12_fulfilled_demand,7764.0,9543.0,77880.0,31224.0,16104.0,33036.0,11517.0,11973.0,33732.0,47076.0
12_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
13_fulfilled_demand,8303.0,10292.0,84370.0,33826.0,17446.0,35789.0,12486.0,12762.0,36543.0,50999.0
13_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
14_fulfilled_demand,8842.0,11041.0,90860.0,36428.0,18788.0,38542.0,13455.0,13551.0,39354.0,54922.0
14_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
15_fulfilled_demand,9381.0,11790.0,97350.0,39030.0,20130.0,41295.0,14424.0,14340.0,42165.0,58845.0
15_lost_demand,539.0,749.0,0.0,0.0,0.0,0.0,969.0,789.0,0.0,0.0
