,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
1_fulfilled_demand,545.0,477.0,674.0,938.0,878.0,573.0,845.0,704.0,852.0,686.0
1_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_fulfilled_demand,1090.0,954.0,1348.0,1876.0,1756.0,1146.0,1690.0,1408.0,1704.0,1372.0
2_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_fulfilled_demand,1090.0,954.0,1348.0,1876.0,1756.0,1146.0,1690.0,1408.0,1704.0,1372.0
3_lost_demand,1832.455817274778,8171.1619835312085,1991.4647028572563,3019.722858776437,6253.827125790153,3056.0311461934075,423.04182554979457,4706.292783164718,9409.956083093488,2710.9813051663828
4_fulfilled_demand,1090.0,954.0,1348.0,1876.0,1756.0,1146.0,1690.0,1408.0,1704.0,1372.0
4_lost_demand,3664.911634549556,16342.323967062417,3982.9294057145125,6039.445717552874,12507.654251580307,6112.062292386815,846.0836510995891,9412.585566329435,18819.912166186976,5421.9626103327655
5_fulfilled_demand,1090.0,954.0,1348.0,1876.0,1756.0,1146.0,1690.0,1408.0,1704.0,1372.0
5_lost_demand,5497.367451824333,24513.485950593626,5974.394108571769,9059.168576329312,18761.48137737046,9168.093438580223,1269.1254766493837,14118.878349494153,28229.868249280466,8132.943915499149
6_fulfilled_demand,1090.0,954.0,1348.0,1876.0,1756.0,1146.0,1690.0,1408.0,1704.0,1372.0
6_lost_demand,7329.823269099112,32684.647934124834,7965.858811429025,12078.891435105748,25015.308503160613,12224.12458477363,1692.1673021991783,18825.17113265887,37639.82433237395,10843.925220665531
7_fulfilled_demand,1090.0,954.0,1348.0,1876.0,1756.0,1146.0,1690.0,1408.0,1704.0,1372.0
7_lost_demand,9162.27908637389,40855.80991765604,9957.323514286281,15098.614293882185,31269.135628950768,15280.155730967037,2115.2091277489726,23531.463915823588,47049.78041546744,13554.906525831913
8_fulfilled_demand,1090.0,954.0,1348.0,1876.0,1756.0,1146.0,1690.0,1408.0,1704.0,1372.0
8_lost_demand,10994.734903648668,49026.97190118725,11948.788217143538,18118.337152658623,37522.96275474092,18336.186877160446,2538.250953298767,28237.756698988305,56459.736498560924,16265.887830998296
9_fulfilled_demand,1090.0,954.0,1348.0,1876.0,1756.0,1146.0,1690.0,1408.0,1704.0,1372.0
9_lost_demand,12827.190720923447,57198.13388471846,13940.252920000794,21138.06001143506,43776.96495575506,21392.218023353853,2961.302690316086,32944.04948215302,65869.69258165441,18976.869136164678
10_fulfilled_demand,1635.0,1431.0,2022.0,2814.0,2634.0,1719.0,2535.0,2112.0,2556.0,2058.0
10_lost_demand,12827.190720923447,57198.13388471846,13940.252920000794,21138.06001143506,43776.96495575506,21392.218023353853,2961.302690316086,32944.04948215302,65869.69258165441,18976.869136164678
11_fulfilled_demand,2180.0,1908.0,2696.0,3752.0,3512.0,2292.0,3380.0,2816.0,3408.0,2744.0
11_lost_demand,12827.190720923447,57198.13388471846,13940.252920000794,21138.06001143506,43776.96495575506,21392.218023353853,2961.302690316086,32944.04948215302,65869.69258165441,18976.869136164678
12_fulfilled_demand,2725.0,2385.0,3370.0,4690.0,4390.0,2865.0,4225.0,3520.0,4260.0,3430.0
12_lost_demand,12827.190720923447,57198.13388471846,13940.252920000794,21138.06001143506,43776.96495575506,21392.218023353853,2961.302690316086,32944.04948215302,65869.69258165441,18976.869136164678
13_fulfilled_demand,3270.0,2862.0,4044.0,5628.0,5268.0,3438.0,5070.0,4224.0,5112.0,4116.0
13_lost_demand,12827.190720923447,57198.13388471846,13940.252920000794,21138.06001143506,43776.96495575506,21392.218023353853,2961.302690316086,32944.04948215302,65869.69258165441,18976.869136164678
14_fulfilled_demand,3815.0,3339.0,4718.0,6566.0,6146.0,4011.0,5915.0,4928.0,5964.0,4802.0
14_lost_demand,12827.190720923447,57198.13388471846,13940.252920000794,21138.06001143506,43776.96495575506,21392.218023353853,2961.302690316086,32944.04948215302,65869.69258165441,18976.869136164678
15_fulfilled_demand,4360.0,3816.0,5392.0,7504.0,7024.0,4584.0,6760.0,5632.0,6816.0,5488.0
15_lost_demand,12827.190720923447,57198.13388471846,13940.252920000794,21138.06001143506,43776.96495575506,21392.218023353853,2961.302690316086,32944.04948215302,65869.69258165441,18976.869136164678
