,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,2301.0,969.0,2562.0,3532.0,1205.0,2976.0,671.0,863.0,2368.0,2877.0
01_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
02_fulfilled_demand,4602.0,1938.0,5124.0,7064.0,2542.0,5952.0,1403.0,1726.0,4736.0,5754.0
02_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
03_fulfilled_demand,6903.0,2907.0,7686.0,10596.0,3879.0,8928.0,2135.0,2589.0,7104.0,8631.0
03_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
04_fulfilled_demand,9204.0,3876.0,10248.0,14128.0,5216.0,11904.0,2867.0,3452.0,9472.0,11508.0
04_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
05_fulfilled_demand,11505.0,4845.0,12810.0,17660.0,6553.0,14880.0,3599.0,4315.0,11840.0,14385.0
05_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
06_fulfilled_demand,13806.0,5814.0,15372.0,21192.0,7890.0,17856.0,4331.0,5178.0,14208.0,17262.0
06_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
07_fulfilled_demand,16107.0,6783.0,17934.0,24724.0,9227.0,20832.0,5063.0,6041.0,16576.0,20139.0
07_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
08_fulfilled_demand,18408.0,7752.0,20496.0,28256.0,10564.0,23808.0,5795.0,6904.0,18944.0,23016.0
08_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
09_fulfilled_demand,20709.0,8721.0,23058.0,31788.0,11901.0,26784.0,6527.0,7767.0,21312.0,25893.0
09_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
10_fulfilled_demand,23010.0,9690.0,25620.0,35320.0,13238.0,29760.0,7259.0,8630.0,23680.0,28770.0
10_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
11_fulfilled_demand,25311.0,10659.0,28182.0,38852.0,14575.0,32736.0,7991.0,9493.0,26048.0,31647.0
11_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
12_fulfilled_demand,27612.0,11628.0,30744.0,42384.0,15912.0,35712.0,8723.0,10356.0,28416.0,34524.0
12_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
13_fulfilled_demand,29913.0,12597.0,33306.0,45916.0,17249.0,38688.0,9455.0,11219.0,30784.0,37401.0
13_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
14_fulfilled_demand,32214.0,13566.0,35868.0,49448.0,18586.0,41664.0,10187.0,12082.0,33152.0,40278.0
14_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
15_fulfilled_demand,34515.0,14535.0,38430.0,52980.0,19923.0,44640.0,10919.0,12945.0,35520.0,43155.0
15_lost_demand,0.0,0.0,0.0,0.0,1205.0,0.0,671.0,0.0,0.0,0.0
