,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,2394.0,1175.0,4121.0,1782.0,803.0,2098.0,1103.0,589.0,2236.0,1720.0
01_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
02_fulfilled_demand,4788.0,2350.0,8242.0,3564.0,1694.0,4196.0,2307.0,1178.0,4472.0,3440.0
02_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
03_fulfilled_demand,7182.0,3525.0,12363.0,5346.0,2585.0,6294.0,3511.0,1767.0,6708.0,5160.0
03_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
04_fulfilled_demand,9576.0,4700.0,16484.0,7128.0,3476.0,8392.0,4715.0,2356.0,8944.0,6880.0
04_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
05_fulfilled_demand,11970.0,5875.0,20605.0,8910.0,4367.0,10490.0,5919.0,2945.0,11180.0,8600.0
05_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
06_fulfilled_demand,14364.0,7050.0,24726.0,10692.0,5258.0,12588.0,7123.0,3534.0,13416.0,10320.0
06_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
07_fulfilled_demand,16758.0,8225.0,28847.0,12474.0,6149.0,14686.0,8327.0,4123.0,15652.0,12040.0
07_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
08_fulfilled_demand,19152.0,9400.0,32968.0,14256.0,7040.0,16784.0,9531.0,4712.0,17888.0,13760.0
08_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
09_fulfilled_demand,21546.0,10575.0,37089.0,16038.0,7931.0,18882.0,10735.0,5301.0,20124.0,15480.0
09_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
10_fulfilled_demand,23940.0,11750.0,41210.0,17820.0,8822.0,20980.0,11939.0,5890.0,22360.0,17200.0
10_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
11_fulfilled_demand,26334.0,12925.0,45331.0,19602.0,9713.0,23078.0,13143.0,6479.0,24596.0,18920.0
11_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
12_fulfilled_demand,28728.0,14100.0,49452.0,21384.0,10604.0,25176.0,14347.0,7068.0,26832.0,20640.0
12_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
13_fulfilled_demand,31122.0,15275.0,53573.0,23166.0,11495.0,27274.0,15551.0,7657.0,29068.0,22360.0
13_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
14_fulfilled_demand,33516.0,16450.0,57694.0,24948.0,12386.0,29372.0,16755.0,8246.0,31304.0,24080.0
14_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
15_fulfilled_demand,35910.0,17625.0,61815.0,26730.0,13277.0,31470.0,17959.0,8835.0,33540.0,25800.0
15_lost_demand,0.0,0.0,0.0,0.0,803.0,0.0,1103.0,0.0,0.0,0.0
