,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,728.0,519.0,5525.0,5301.0,1562.0,4389.0,820.0,862.0,1573.0,4546.0
01_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
02_fulfilled_demand,1456.0,1038.0,11050.0,10602.0,3124.0,8778.0,1640.0,1724.0,3146.0,9092.0
02_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
03_fulfilled_demand,2184.0,1557.0,16575.0,15903.0,4686.0,13167.0,2460.0,2586.0,4719.0,13638.0
03_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
04_fulfilled_demand,2912.0,2076.0,22100.0,21204.0,6248.0,17556.0,3280.0,3448.0,6292.0,18184.0
04_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
05_fulfilled_demand,3640.0,2595.0,27625.0,26505.0,7810.0,21945.0,4100.0,4310.0,7865.0,22730.0
05_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
06_fulfilled_demand,4368.0,3114.0,33150.0,31806.0,9372.0,26334.0,4920.0,5172.0,9438.0,27276.0
06_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
07_fulfilled_demand,5096.0,3633.0,38675.0,37107.0,10934.0,30723.0,5740.0,6034.0,11011.0,31822.0
07_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
08_fulfilled_demand,5824.0,4152.0,44200.0,42408.0,12496.0,35112.0,6560.0,6896.0,12584.0,36368.0
08_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
09_fulfilled_demand,6552.0,4671.0,49725.0,47709.0,14058.0,39501.0,7380.0,7758.0,14157.0,40914.0
09_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
10_fulfilled_demand,7280.0,5190.0,55250.0,53010.0,15620.0,43890.0,8200.0,8620.0,15730.0,45460.0
10_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
11_fulfilled_demand,8008.0,5709.0,60775.0,58311.0,17182.0,48279.0,9020.0,9482.0,17303.0,50006.0
11_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
12_fulfilled_demand,8736.0,6228.0,66300.0,63612.0,18744.0,52668.0,9840.0,10344.0,18876.0,54552.0
12_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
13_fulfilled_demand,9464.0,6747.0,71825.0,68913.0,20306.0,57057.0,10660.0,11206.0,20449.0,59098.0
13_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
14_fulfilled_demand,10192.0,7266.0,77350.0,74214.0,21868.0,61446.0,11480.0,12068.0,22022.0,63644.0
14_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
15_fulfilled_demand,10920.0,7785.0,82875.0,79515.0,23430.0,65835.0,12300.0,12930.0,23595.0,68190.0
15_lost_demand,728.0,519.0,0.0,0.0,0.0,0.0,820.0,862.0,0.0,0.0
