,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,794.0,726.0,4424.0,5597.0,1252.0,2361.0,1622.0,457.0,2358.0,3177.0
01_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
02_fulfilled_demand,1588.0,1452.0,8848.0,11194.0,2504.0,4722.0,3244.0,914.0,4716.0,6354.0
02_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
03_fulfilled_demand,2382.0,2178.0,13272.0,16791.0,3756.0,7083.0,4866.0,1371.0,7074.0,9531.0
03_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
04_fulfilled_demand,3176.0,2904.0,17696.0,22388.0,5008.0,9444.0,6488.0,1828.0,9432.0,12708.0
04_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
05_fulfilled_demand,3970.0,3630.0,22120.0,27985.0,6260.0,11805.0,8110.0,2285.0,11790.0,15885.0
05_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
06_fulfilled_demand,4764.0,4356.0,26544.0,33582.0,7512.0,14166.0,9732.0,2742.0,14148.0,19062.0
06_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
07_fulfilled_demand,5558.0,5082.0,30968.0,39179.0,8764.0,16527.0,11354.0,3199.0,16506.0,22239.0
07_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
08_fulfilled_demand,6352.0,5808.0,35392.0,44776.0,10016.0,18888.0,12976.0,3656.0,18864.0,25416.0
08_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
09_fulfilled_demand,7146.0,6534.0,39816.0,50373.0,11268.0,21249.0,14598.0,4113.0,21222.0,28593.0
09_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
10_fulfilled_demand,7940.0,7260.0,44240.0,55970.0,12520.0,23610.0,16220.0,4570.0,23580.0,31770.0
10_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
11_fulfilled_demand,8734.0,7986.0,48664.0,61567.0,13772.0,25971.0,17842.0,5027.0,25938.0,34947.0
11_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
12_fulfilled_demand,9528.0,8712.0,53088.0,67164.0,15024.0,28332.0,19464.0,5484.0,28296.0,38124.0
12_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
13_fulfilled_demand,10322.0,9438.0,57512.0,72761.0,16276.0,30693.0,21086.0,5941.0,30654.0,41301.0
13_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
14_fulfilled_demand,11116.0,10164.0,61936.0,78358.0,17528.0,33054.0,22708.0,6398.0,33012.0,44478.0
14_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
15_fulfilled_demand,11910.0,10890.0,66360.0,83955.0,18780.0,35415.0,24330.0,6855.0,35370.0,47655.0
15_lost_demand,794.0,726.0,0.0,0.0,0.0,0.0,1622.0,457.0,0.0,0.0
