,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,583.0,762.0,6476.0,3773.0,731.0,2314.0,785.0,654.0,2843.0,4583.0
01_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
02_fulfilled_demand,1633.0,1713.0,12952.0,7546.0,1462.0,4628.0,1539.0,2000.0,5686.0,9166.0
02_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
03_fulfilled_demand,2683.0,2664.0,19428.0,11319.0,2193.0,6942.0,2293.0,3346.0,8529.0,13749.0
03_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
04_fulfilled_demand,3733.0,3615.0,25904.0,15092.0,2924.0,9256.0,3047.0,4692.0,11372.0,18332.0
04_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
05_fulfilled_demand,4783.0,4566.0,32380.0,18865.0,3655.0,11570.0,3801.0,6038.0,14215.0,22915.0
05_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
06_fulfilled_demand,5833.0,5517.0,38856.0,22638.0,4386.0,13884.0,4555.0,7384.0,17058.0,27498.0
06_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
07_fulfilled_demand,6883.0,6468.0,45332.0,26411.0,5117.0,16198.0,5309.0,8730.0,19901.0,32081.0
07_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
08_fulfilled_demand,7933.0,7419.0,51808.0,30184.0,5848.0,18512.0,6063.0,10076.0,22744.0,36664.0
08_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
09_fulfilled_demand,8983.0,8370.0,58284.0,33957.0,6579.0,20826.0,6817.0,11422.0,25587.0,41247.0
09_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
10_fulfilled_demand,10033.0,9321.0,64760.0,37730.0,7310.0,23140.0,7571.0,12768.0,28430.0,45830.0
10_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
11_fulfilled_demand,11083.0,10272.0,71236.0,41503.0,8041.0,25454.0,8325.0,14114.0,31273.0,50413.0
11_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
12_fulfilled_demand,12133.0,11223.0,77712.0,45276.0,8772.0,27768.0,9079.0,15460.0,34116.0,54996.0
12_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
13_fulfilled_demand,13183.0,12174.0,84188.0,49049.0,9503.0,30082.0,9833.0,16806.0,36959.0,59579.0
13_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
14_fulfilled_demand,14233.0,13125.0,90664.0,52822.0,10234.0,32396.0,10587.0,18152.0,39802.0,64162.0
14_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
15_fulfilled_demand,15283.0,14076.0,97140.0,56595.0,10965.0,34710.0,11341.0,19498.0,42645.0,68745.0
15_lost_demand,583.0,762.0,0.0,0.0,0.0,0.0,785.0,654.0,0.0,0.0
