,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,1045.0,721.0,5698.0,3671.0,793.0,1586.0,979.0,945.0,2339.0,2008.0
01_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
02_fulfilled_demand,2090.0,1442.0,11396.0,7342.0,1673.0,3172.0,2048.0,1890.0,4678.0,4016.0
02_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
03_fulfilled_demand,3135.0,2163.0,17094.0,11013.0,2553.0,4758.0,3117.0,2835.0,7017.0,6024.0
03_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
04_fulfilled_demand,4180.0,2884.0,22792.0,14684.0,3433.0,6344.0,4186.0,3780.0,9356.0,8032.0
04_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
05_fulfilled_demand,5225.0,3605.0,28490.0,18355.0,4313.0,7930.0,5255.0,4725.0,11695.0,10040.0
05_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
06_fulfilled_demand,6270.0,4326.0,34188.0,22026.0,5193.0,9516.0,6324.0,5670.0,14034.0,12048.0
06_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
07_fulfilled_demand,7315.0,5047.0,39886.0,25697.0,6073.0,11102.0,7393.0,6615.0,16373.0,14056.0
07_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
08_fulfilled_demand,8360.0,5768.0,45584.0,29368.0,6953.0,12688.0,8462.0,7560.0,18712.0,16064.0
08_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
09_fulfilled_demand,9405.0,6489.0,51282.0,33039.0,7833.0,14274.0,9531.0,8505.0,21051.0,18072.0
09_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
10_fulfilled_demand,10450.0,7210.0,56980.0,36710.0,8713.0,15860.0,10600.0,9450.0,23390.0,20080.0
10_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
11_fulfilled_demand,11495.0,7931.0,62678.0,40381.0,9593.0,17446.0,11669.0,10395.0,25729.0,22088.0
11_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
12_fulfilled_demand,12540.0,8652.0,68376.0,44052.0,10473.0,19032.0,12738.0,11340.0,28068.0,24096.0
12_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
13_fulfilled_demand,13585.0,9373.0,74074.0,47723.0,11353.0,20618.0,13807.0,12285.0,30407.0,26104.0
13_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
14_fulfilled_demand,14630.0,10094.0,79772.0,51394.0,12233.0,22204.0,14876.0,13230.0,32746.0,28112.0
14_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
15_fulfilled_demand,15675.0,10815.0,85470.0,55065.0,13113.0,23790.0,15945.0,14175.0,35085.0,30120.0
15_lost_demand,0.0,0.0,0.0,0.0,793.0,0.0,979.0,0.0,0.0,0.0
