,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
1_fulfilled_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_lost_demand,8310.393454556575,2895.0238474146213,495.4895728886877,1866.4485448451373,2816.7888190257127,3223.8423802869247,3145.9976527419262,11753.177014283478,283.1699747227207,405.5864312624249
2_fulfilled_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_lost_demand,16620.78690911315,5790.047694829243,990.9791457773754,3732.8970896902747,5633.577638051425,6447.684760573849,6291.9953054838525,23506.354028566955,566.3399494454414,811.1728625248498
3_fulfilled_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_lost_demand,24931.180363669726,8685.071542243864,1486.468718666063,5599.345634535412,8450.366457077138,9671.527140860773,9437.99295822578,35259.53104285043,849.5099241681621,1216.7592937872748
4_fulfilled_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_lost_demand,33241.5738182263,11580.095389658485,1981.9582915547508,7465.794179380549,11267.15527610285,12895.369521147699,12583.990610967705,47012.70805713391,1132.679898890883,1622.3457250496997
5_fulfilled_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_lost_demand,41551.96727278287,14475.119237073106,2477.4478644434384,9332.242724225687,14017.893883208424,16119.211901434624,15668.012741176797,58540.34849858971,1415.8498736136037,2027.9321563121246
6_fulfilled_demand,971.0,845.0,551.0,704.0,505.0,677.0,560.0,773.0,923.0,650.0
6_lost_demand,41551.96727278287,14475.119237073106,2477.4478644434384,9332.242724225687,14017.893883208424,16119.211901434624,15668.012741176797,58540.34849858971,1415.8498736136037,2027.9321563121246
7_fulfilled_demand,1942.0,1690.0,1102.0,1408.0,1010.0,1354.0,1120.0,1546.0,1846.0,1300.0
7_lost_demand,41551.96727278287,14475.119237073106,2477.4478644434384,9332.242724225687,14017.893883208424,16119.211901434624,15668.012741176797,58540.34849858971,1415.8498736136037,2027.9321563121246
8_fulfilled_demand,2913.0,2535.0,1653.0,2112.0,1515.0,2031.0,1680.0,2319.0,2769.0,1950.0
8_lost_demand,41551.96727278287,14475.119237073106,2477.4478644434384,9332.242724225687,14017.893883208424,16119.211901434624,15668.012741176797,58540.34849858971,1415.8498736136037,2027.9321563121246
9_fulfilled_demand,3884.0,3380.0,2204.0,2816.0,2020.0,2708.0,2240.0,3092.0,3692.0,2600.0
9_lost_demand,41551.96727278287,14475.119237073106,2477.4478644434384,9332.242724225687,14017.893883208424,16119.211901434624,15668.012741176797,58540.34849858971,1415.8498736136037,2027.9321563121246
10_fulfilled_demand,4855.0,4225.0,2755.0,3520.0,2525.0,3385.0,2800.0,3865.0,4615.0,3250.0
10_lost_demand,41551.96727278287,14475.119237073106,2477.4478644434384,9332.242724225687,14017.893883208424,16119.211901434624,15668.012741176797,58540.34849858971,1415.8498736136037,2027.9321563121246
11_fulfilled_demand,5826.0,5070.0,3306.0,4224.0,3030.0,4062.0,3360.0,4638.0,5538.0,3900.0
11_lost_demand,41551.96727278287,14475.119237073106,2477.4478644434384,9332.242724225687,14017.893883208424,16119.211901434624,15668.012741176797,58540.34849858971,1415.8498736136037,2027.9321563121246
12_fulfilled_demand,6797.0,5915.0,3857.0,4928.0,3535.0,4739.0,3920.0,5411.0,6461.0,4550.0
12_lost_demand,41551.96727278287,14475.119237073106,2477.4478644434384,9332.242724225687,14017.893883208424,16119.211901434624,15668.012741176797,58540.34849858971,1415.8498736136037,2027.9321563121246
13_fulfilled_demand,7768.0,6760.0,4408.0,5632.0,4040.0,5416.0,4480.0,6184.0,7384.0,5200.0
13_lost_demand,41551.96727278287,14475.119237073106,2477.4478644434384,9332.242724225687,14017.893883208424,16119.211901434624,15668.012741176797,58540.34849858971,1415.8498736136037,2027.9321563121246
14_fulfilled_demand,8739.0,7605.0,4959.0,6336.0,4545.0,6093.0,5040.0,6957.0,8307.0,5850.0
14_lost_demand,41551.96727278287,14475.119237073106,2477.4478644434384,9332.242724225687,14017.893883208424,16119.211901434624,15668.012741176797,58540.34849858971,1415.8498736136037,2027.9321563121246
15_fulfilled_demand,9710.0,8450.0,5510.0,7040.0,5050.0,6770.0,5600.0,7730.0,9230.0,6500.0
15_lost_demand,41551.96727278287,14475.119237073106,2477.4478644434384,9332.242724225687,14017.893883208424,16119.211901434624,15668.012741176797,58540.34849858971,1415.8498736136037,2027.9321563121246
