,0_lost_demand,0_fulfilled_demand,0_cost,0_cost_after_disruption,0_loss,1_lost_demand,1_fulfilled_demand,1_cost,1_cost_after_disruption,1_loss,2_lost_demand,2_fulfilled_demand,2_cost,2_cost_after_disruption,2_loss
0,0.0,1000.0,182.82834144265166,0.0,0.0,0.0,1000.0,182.82834144265166,0.0,0.0,0.0,1000.0,182.82834144265166,0.0,0.0
1,0.0,1000.0,275.19754511939885,0.0,0.0,0.0,1000.0,275.19754511939885,0.0,0.0,0.0,1000.0,275.19754511939885,0.0,0.0
2,0.0,1000.0,63.73898182795795,0.0,0.0,0.0,1000.0,63.73898182795795,0.0,0.0,0.0,1000.0,63.73898182795795,0.0,0.0
3,0.0,1000.0,92.57528283234237,0.0,0.0,0.0,1000.0,92.57528283234237,0.0,0.0,0.0,1000.0,92.57528283234237,0.0,0.0
4,0.0,1000.0,223.63058446825454,0.0,0.0,0.0,1000.0,223.63058446825454,0.0,0.0,0.0,1000.0,223.63058446825454,0.0,0.0
5,0.0,1000.0,102.06994571202202,0.0,0.0,0.0,1000.0,102.06994571202202,0.0,0.0,0.0,1000.0,102.06994571202202,0.0,0.0
6,0.0,1000.0,256.5668327606173,0.0,0.0,0.0,1000.0,256.5668327606173,0.0,0.0,0.0,1000.0,256.5668327606173,0.0,0.0
7,0.0,1000.0,272.27878602070336,0.0,0.0,0.0,1000.0,272.27878602070336,0.0,0.0,0.0,1000.0,272.27878602070336,0.0,0.0
8,0.0,1000.0,144.8620229401228,0.0,0.0,0.0,1000.0,144.8620229401228,0.0,0.0,0.0,1000.0,144.8620229401228,0.0,0.0
9,0.0,1000.0,88.89889337293621,0.0,0.0,0.0,1000.0,88.89889337293621,0.0,0.0,0.0,1000.0,88.89889337293621,0.0,0.0
