,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,1611.0,545.0,6147.0,5144.0,1214.0,4472.0,699.0,1805.0,1778.0,3695.0
01_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_fulfilled_demand,3222.0,1090.0,12294.0,10288.0,2428.0,8944.0,1398.0,3610.0,3556.0,7390.0
02_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_fulfilled_demand,4833.0,1635.0,18441.0,15432.0,3642.0,13416.0,2097.0,5415.0,5334.0,11085.0
03_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_fulfilled_demand,6444.0,2180.0,24588.0,20576.0,4856.0,17888.0,2796.0,7220.0,7112.0,14780.0
04_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_fulfilled_demand,7338.0,2617.0,30735.0,25720.0,6070.0,22360.0,3523.0,8097.0,8890.0,18475.0
05_lost_demand,894.0,437.0,0.0,0.0,0.0,0.0,727.0,877.0,0.0,0.0
06_fulfilled_demand,8232.0,3054.0,36882.0,30864.0,7284.0,26832.0,4250.0,8974.0,10668.0,22170.0
06_lost_demand,894.0,437.0,0.0,0.0,0.0,0.0,727.0,877.0,0.0,0.0
07_fulfilled_demand,9126.0,3491.0,43029.0,36008.0,8498.0,31304.0,4977.0,9851.0,12446.0,25865.0
07_lost_demand,894.0,437.0,0.0,0.0,0.0,0.0,727.0,877.0,0.0,0.0
08_fulfilled_demand,10020.0,3928.0,49176.0,41152.0,9712.0,35776.0,5704.0,10728.0,14224.0,29560.0
08_lost_demand,894.0,437.0,0.0,0.0,0.0,0.0,727.0,877.0,0.0,0.0
09_fulfilled_demand,10914.0,4365.0,55323.0,46296.0,10926.0,40248.0,6431.0,11605.0,16002.0,33255.0
09_lost_demand,894.0,437.0,0.0,0.0,0.0,0.0,727.0,877.0,0.0,0.0
10_fulfilled_demand,11808.0,4802.0,61470.0,51440.0,12140.0,44720.0,7158.0,12482.0,17780.0,36950.0
10_lost_demand,894.0,437.0,0.0,0.0,0.0,0.0,727.0,877.0,0.0,0.0
11_fulfilled_demand,12702.0,5239.0,67617.0,56584.0,13354.0,49192.0,7885.0,13359.0,19558.0,40645.0
11_lost_demand,894.0,437.0,0.0,0.0,0.0,0.0,727.0,877.0,0.0,0.0
12_fulfilled_demand,13596.0,5676.0,73764.0,61728.0,14568.0,53664.0,8612.0,14236.0,21336.0,44340.0
12_lost_demand,894.0,437.0,0.0,0.0,0.0,0.0,727.0,877.0,0.0,0.0
13_fulfilled_demand,14490.0,6113.0,79911.0,66872.0,15782.0,58136.0,9339.0,15113.0,23114.0,48035.0
13_lost_demand,894.0,437.0,0.0,0.0,0.0,0.0,727.0,877.0,0.0,0.0
14_fulfilled_demand,15384.0,6550.0,86058.0,72016.0,16996.0,62608.0,10066.0,15990.0,24892.0,51730.0
14_lost_demand,894.0,437.0,0.0,0.0,0.0,0.0,727.0,877.0,0.0,0.0
15_fulfilled_demand,16278.0,6987.0,92205.0,77160.0,18210.0,67080.0,10793.0,16867.0,26670.0,55425.0
15_lost_demand,894.0,437.0,0.0,0.0,0.0,0.0,727.0,877.0,0.0,0.0
