,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,2387.0,1432.0,2977.0,3081.0,1051.0,1854.0,583.0,1413.0,1503.0,3173.0
01_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
02_fulfilled_demand,4774.0,2864.0,5954.0,6162.0,2218.0,3708.0,1219.0,2826.0,3006.0,6346.0
02_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
03_fulfilled_demand,7161.0,4296.0,8931.0,9243.0,3385.0,5562.0,1855.0,4239.0,4509.0,9519.0
03_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
04_fulfilled_demand,9548.0,5728.0,11908.0,12324.0,4552.0,7416.0,2491.0,5652.0,6012.0,12692.0
04_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
05_fulfilled_demand,11935.0,7160.0,14885.0,15405.0,5719.0,9270.0,3127.0,7065.0,7515.0,15865.0
05_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
06_fulfilled_demand,14322.0,8592.0,17862.0,18486.0,6886.0,11124.0,3763.0,8478.0,9018.0,19038.0
06_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
07_fulfilled_demand,16709.0,10024.0,20839.0,21567.0,8053.0,12978.0,4399.0,9891.0,10521.0,22211.0
07_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
08_fulfilled_demand,19096.0,11456.0,23816.0,24648.0,9220.0,14832.0,5035.0,11304.0,12024.0,25384.0
08_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
09_fulfilled_demand,21483.0,12888.0,26793.0,27729.0,10387.0,16686.0,5671.0,12717.0,13527.0,28557.0
09_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
10_fulfilled_demand,23870.0,14320.0,29770.0,30810.0,11554.0,18540.0,6307.0,14130.0,15030.0,31730.0
10_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
11_fulfilled_demand,26257.0,15752.0,32747.0,33891.0,12721.0,20394.0,6943.0,15543.0,16533.0,34903.0
11_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
12_fulfilled_demand,28644.0,17184.0,35724.0,36972.0,13888.0,22248.0,7579.0,16956.0,18036.0,38076.0
12_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
13_fulfilled_demand,31031.0,18616.0,38701.0,40053.0,15055.0,24102.0,8215.0,18369.0,19539.0,41249.0
13_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
14_fulfilled_demand,33418.0,20048.0,41678.0,43134.0,16222.0,25956.0,8851.0,19782.0,21042.0,44422.0
14_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
15_fulfilled_demand,35805.0,21480.0,44655.0,46215.0,17389.0,27810.0,9487.0,21195.0,22545.0,47595.0
15_lost_demand,0.0,0.0,0.0,0.0,1051.0,0.0,583.0,0.0,0.0,0.0
