,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,816.0,517.0,3709.0,5796.0,1146.0,2920.0,786.0,575.0,2939.0,3078.0
01_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
02_fulfilled_demand,1632.0,1034.0,7418.0,11592.0,2292.0,5840.0,1572.0,1150.0,5878.0,6156.0
02_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
03_fulfilled_demand,2448.0,1551.0,11127.0,17388.0,3438.0,8760.0,2358.0,1725.0,8817.0,9234.0
03_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
04_fulfilled_demand,3264.0,2068.0,14836.0,23184.0,4584.0,11680.0,3144.0,2300.0,11756.0,12312.0
04_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
05_fulfilled_demand,4080.0,2585.0,18545.0,28980.0,5730.0,14600.0,3930.0,2875.0,14695.0,15390.0
05_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
06_fulfilled_demand,4896.0,3102.0,22254.0,34776.0,6876.0,17520.0,4716.0,3450.0,17634.0,18468.0
06_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
07_fulfilled_demand,5712.0,3619.0,25963.0,40572.0,8022.0,20440.0,5502.0,4025.0,20573.0,21546.0
07_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
08_fulfilled_demand,6528.0,4136.0,29672.0,46368.0,9168.0,23360.0,6288.0,4600.0,23512.0,24624.0
08_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
09_fulfilled_demand,7344.0,4653.0,33381.0,52164.0,10314.0,26280.0,7074.0,5175.0,26451.0,27702.0
09_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
10_fulfilled_demand,8160.0,5170.0,37090.0,57960.0,11460.0,29200.0,7860.0,5750.0,29390.0,30780.0
10_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
11_fulfilled_demand,8976.0,5687.0,40799.0,63756.0,12606.0,32120.0,8646.0,6325.0,32329.0,33858.0
11_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
12_fulfilled_demand,9792.0,6204.0,44508.0,69552.0,13752.0,35040.0,9432.0,6900.0,35268.0,36936.0
12_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
13_fulfilled_demand,10608.0,6721.0,48217.0,75348.0,14898.0,37960.0,10218.0,7475.0,38207.0,40014.0
13_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
14_fulfilled_demand,11424.0,7238.0,51926.0,81144.0,16044.0,40880.0,11004.0,8050.0,41146.0,43092.0
14_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
15_fulfilled_demand,12240.0,7755.0,55635.0,86940.0,17190.0,43800.0,11790.0,8625.0,44085.0,46170.0
15_lost_demand,816.0,517.0,0.0,0.0,0.0,0.0,786.0,575.0,0.0,0.0
