,0_lost_demand,0_fulfilled_demand,0_cost,0_cost_after_disruption,0_loss,1_lost_demand,1_fulfilled_demand,1_cost,1_cost_after_disruption,1_loss,2_lost_demand,2_fulfilled_demand,2_cost,2_cost_after_disruption,2_loss
0,0.0,1000.0,171.10648151295632,0.0,0.0,0.0,1000.0,171.10648151295632,0.0,0.0,0.0,1000.0,171.10648151295632,0.0,0.0
1,0.0,1000.0,270.9710248201222,0.0,0.0,0.0,1000.0,270.9710248201222,0.0,0.0,0.0,1000.0,270.9710248201222,0.0,0.0
2,0.0,1000.0,70.9594381057955,0.0,0.0,0.0,1000.0,70.9594381057955,0.0,0.0,0.0,1000.0,70.9594381057955,0.0,0.0
3,0.0,1000.0,90.1777749212236,0.0,0.0,0.0,1000.0,90.1777749212236,0.0,0.0,0.0,1000.0,90.1777749212236,0.0,0.0
4,0.0,1000.0,217.93766344085986,0.0,0.0,0.0,1000.0,217.93766344085986,0.0,0.0,0.0,1000.0,217.93766344085986,0.0,0.0
5,0.0,1000.0,110.67027897589885,0.0,0.0,0.0,1000.0,110.67027897589885,0.0,0.0,0.0,1000.0,110.67027897589885,0.0,0.0
6,0.0,1000.0,257.07896242746136,0.0,0.0,0.0,1000.0,257.07896242746136,0.0,0.0,0.0,1000.0,257.07896242746136,0.0,0.0
7,0.0,1000.0,270.987345877309,0.0,0.0,0.0,1000.0,270.987345877309,0.0,0.0,0.0,1000.0,270.987345877309,0.0,0.0
8,0.0,1000.0,160.94157573052775,0.0,0.0,0.0,1000.0,160.94157573052775,0.0,0.0,0.0,1000.0,160.94157573052775,0.0,0.0
9,0.0,1000.0,97.04759003026552,0.0,0.0,0.0,1000.0,97.04759003026552,0.0,0.0,0.0,1000.0,97.04759003026552,0.0,0.0
