,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
1_fulfilled_demand,890.0,820.0,779.0,971.0,611.0,765.0,706.0,995.0,952.0,856.0
1_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_fulfilled_demand,1780.0,1640.0,1558.0,1942.0,1222.0,1530.0,1412.0,1990.0,1904.0,1712.0
2_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_fulfilled_demand,2670.0,2460.0,2337.0,2913.0,1833.0,2295.0,2118.0,2985.0,2856.0,2568.0
3_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_fulfilled_demand,2670.0,2460.0,2337.0,2913.0,1833.0,2295.0,2118.0,2985.0,2856.0,2568.0
4_lost_demand,1904.2868626558575,6421.422295533361,2802.078963922234,1287.1601825601053,3408.0355810390306,2768.599645345374,5769.024267105974,11998.548243381247,9054.076158198193,1246.294305704846
5_fulfilled_demand,2670.0,2460.0,2337.0,2913.0,1833.0,2295.0,2118.0,2985.0,2856.0,2568.0
5_lost_demand,3808.573725311715,12842.844591066721,5604.157927844468,2574.3203651202107,6816.071162078061,5537.199290690748,11538.048534211948,23997.096486762493,18108.152316396387,2492.588611409692
6_fulfilled_demand,2670.0,2460.0,2337.0,2913.0,1833.0,2295.0,2118.0,2985.0,2856.0,2568.0
6_lost_demand,5712.860587967572,19264.266886600082,8406.2368917667,3861.480547680316,10224.106743117092,8305.798936036123,17307.07280131792,35995.644730143744,27162.22847459458,3738.882917114538
7_fulfilled_demand,2670.0,2460.0,2337.0,2913.0,1833.0,2295.0,2118.0,2985.0,2856.0,2568.0
7_lost_demand,7617.14745062343,25685.689182133443,11208.315855688936,5148.640730240421,13632.142324156122,11074.398581381496,23076.097068423896,47994.19297352499,36216.30463279277,4985.177222819384
8_fulfilled_demand,2670.0,2460.0,2337.0,2913.0,1833.0,2295.0,2118.0,2985.0,2856.0,2568.0
8_lost_demand,9521.434313279287,32107.111477666804,14010.39481961117,6435.800912800527,17040.177905195153,13842.99822672687,28845.12133552987,59992.74121690623,45270.38079099097,6231.47152852423
9_fulfilled_demand,2670.0,2460.0,2337.0,2913.0,1833.0,2295.0,2118.0,2985.0,2856.0,2568.0
9_lost_demand,11425.721175935145,38528.533773200164,16812.473783533405,7722.9610953606325,20448.213486234185,16611.597872072245,34614.14560263584,71991.28946028747,54324.45694918916,7477.765834229076
10_fulfilled_demand,2670.0,2460.0,2337.0,2913.0,1833.0,2295.0,2118.0,2985.0,2856.0,2568.0
10_lost_demand,13330.008038591002,44949.956068733525,19614.55274745564,9010.121277920738,23776.334850474792,19380.19751741762,40269.52124920109,83759.59260088237,63378.53310738735,8724.060139933921
11_fulfilled_demand,3560.0,3280.0,3116.0,3884.0,2444.0,3060.0,2824.0,3980.0,3808.0,3424.0
11_lost_demand,13330.008038591002,44949.956068733525,19614.55274745564,9010.121277920738,23776.334850474792,19380.19751741762,40269.52124920109,83759.59260088237,63378.53310738735,8724.060139933921
12_fulfilled_demand,4450.0,4100.0,3895.0,4855.0,3055.0,3825.0,3530.0,4975.0,4760.0,4280.0
12_lost_demand,13330.008038591002,44949.956068733525,19614.55274745564,9010.121277920738,23776.334850474792,19380.19751741762,40269.52124920109,83759.59260088237,63378.53310738735,8724.060139933921
13_fulfilled_demand,5340.0,4920.0,4674.0,5826.0,3666.0,4590.0,4236.0,5970.0,5712.0,5136.0
13_lost_demand,13330.008038591002,44949.956068733525,19614.55274745564,9010.121277920738,23776.334850474792,19380.19751741762,40269.52124920109,83759.59260088237,63378.53310738735,8724.060139933921
14_fulfilled_demand,6230.0,5740.0,5453.0,6797.0,4277.0,5355.0,4942.0,6965.0,6664.0,5992.0
14_lost_demand,13330.008038591002,44949.956068733525,19614.55274745564,9010.121277920738,23776.334850474792,19380.19751741762,40269.52124920109,83759.59260088237,63378.53310738735,8724.060139933921
15_fulfilled_demand,7120.0,6560.0,6232.0,7768.0,4888.0,6120.0,5648.0,7960.0,7616.0,6848.0
15_lost_demand,13330.008038591002,44949.956068733525,19614.55274745564,9010.121277920738,23776.334850474792,19380.19751741762,40269.52124920109,83759.59260088237,63378.53310738735,8724.060139933921
