,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
01_fulfilled_demand,2333.0,637.0,2533.0,3750.0,800.0,2224.0,1258.0,953.0,2063.0,1864.0
01_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_fulfilled_demand,4666.0,1274.0,5066.0,7500.0,1600.0,4448.0,2516.0,1906.0,4126.0,3728.0
02_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_fulfilled_demand,6999.0,1911.0,7599.0,11250.0,2321.0,6672.0,3668.0,2859.0,6189.0,5592.0
03_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
04_fulfilled_demand,9332.0,2548.0,10132.0,15000.0,3042.0,8896.0,4820.0,3812.0,8252.0,7456.0
04_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
05_fulfilled_demand,11665.0,3185.0,12665.0,18750.0,3763.0,11120.0,5972.0,4765.0,10315.0,9320.0
05_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
06_fulfilled_demand,13998.0,3822.0,15198.0,22500.0,4484.0,13344.0,7124.0,5718.0,12378.0,11184.0
06_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
07_fulfilled_demand,16331.0,4459.0,17731.0,26250.0,5205.0,15568.0,8276.0,6671.0,14441.0,13048.0
07_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
08_fulfilled_demand,18664.0,5096.0,20264.0,30000.0,5926.0,17792.0,9428.0,7624.0,16504.0,14912.0
08_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
09_fulfilled_demand,20997.0,5733.0,22797.0,33750.0,6647.0,20016.0,10580.0,8577.0,18567.0,16776.0
09_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
10_fulfilled_demand,23330.0,6370.0,25330.0,37500.0,7368.0,22240.0,11732.0,9530.0,20630.0,18640.0
10_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
11_fulfilled_demand,25663.0,7007.0,27863.0,41250.0,8089.0,24464.0,12884.0,10483.0,22693.0,20504.0
11_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
12_fulfilled_demand,27996.0,7644.0,30396.0,45000.0,8810.0,26688.0,14036.0,11436.0,24756.0,22368.0
12_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
13_fulfilled_demand,30329.0,8281.0,32929.0,48750.0,9531.0,28912.0,15188.0,12389.0,26819.0,24232.0
13_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
14_fulfilled_demand,32662.0,8918.0,35462.0,52500.0,10252.0,31136.0,16340.0,13342.0,28882.0,26096.0
14_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
15_fulfilled_demand,34995.0,9555.0,37995.0,56250.0,10973.0,33360.0,17492.0,14295.0,30945.0,27960.0
15_lost_demand,0.0,0.0,0.0,0.0,721.0,0.0,1152.0,0.0,0.0,0.0
