,Agent 0,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9
1_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
1_lost_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
2_lost_demand,5290.738572345143,15465.251653526155,445.00282097132856,1513.838237367292,13237.405734132717,1997.7346460531326,8498.279373640527,13491.22322039267,3840.4352584821427,463.40849684752953
3_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
3_lost_demand,10581.477144690287,30930.50330705231,890.0056419426571,3027.676474734584,26474.811468265434,3995.469292106265,16996.558747281055,26982.44644078534,7680.870516964285,926.8169936950591
4_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
4_lost_demand,15872.21571703543,46395.754960578466,1335.0084629139856,4541.514712101876,39712.217202398155,5993.203938159398,25494.83812092158,40473.66966117801,11521.305775446428,1390.2254905425887
5_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
5_lost_demand,21162.954289380574,61861.00661410462,1780.0112838853142,6055.352949469168,52949.62293653087,7990.93858421253,33993.11749456211,53964.89288157068,15361.74103392857,1853.6339873901181
6_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
6_lost_demand,26453.692861725718,77326.25826763078,2225.014104856643,7569.1911868364605,66187.02867066358,9988.673230265664,42491.39686820264,67456.11610196336,19202.176292410713,2317.042484237648
7_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
7_lost_demand,31744.431434070862,92791.50992115693,2670.0169258279716,9083.029424203753,79424.4344047963,11986.407876318797,50989.67624184317,80947.33932235603,23042.611550892856,2780.4509810851773
8_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
8_lost_demand,37035.170006416,108256.76157468309,3115.0197467993003,10596.867661571045,92661.84013892901,13984.14252237193,59487.9556154837,94438.5625427487,26883.046809375,3243.859477932707
9_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
9_lost_demand,42325.90857876115,123722.01322820924,3560.022567770629,12110.705898938337,105899.24587306172,15981.877168425064,67986.23498912422,107929.78576314136,30723.48206785714,3707.2679747802363
10_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
10_lost_demand,47616.64715110629,139187.2648817354,4005.0253887419576,13624.544136305629,119136.65160719444,17979.611814478198,76484.51436276475,121421.00898353403,34563.91732633929,4170.676471627766
11_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
11_lost_demand,52907.385723451436,154652.51653526156,4450.028209713286,15138.382373672921,132374.05734132716,19977.34646053133,84982.79373640528,134912.23220392672,38404.352584821434,4634.084968475296
12_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
12_lost_demand,58198.12429579658,170117.7681887877,4895.031030684614,16652.22061104021,145611.46307545988,21975.081106584465,93481.0731100458,148403.4554243194,42244.78784330358,5097.493465322826
13_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
13_lost_demand,63488.862868141725,185583.01984231386,5340.033851655942,18166.058848407505,158848.8688095926,23972.815752637598,101979.35248368634,161894.67864471208,46085.22310178573,5560.901962170356
14_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
14_lost_demand,68779.60144048686,201048.27149584002,5785.0366726272705,19679.8970857748,172086.2745437253,25970.55039869073,110477.63185732687,175385.90186510477,49925.65836026787,6024.3104590178855
15_fulfilled_demand,911.0,854.0,433.0,571.0,857.0,456.0,832.0,919.0,569.0,557.0
15_lost_demand,74070.340012832,216513.52314936617,6230.039493598599,21193.735323142093,185323.68027785802,27968.285044743865,118975.9112309674,188877.12508549745,53766.09361875002,6487.718955865415
